index,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
4,Yelahanka Satellite Town,13.0909866591769,77.5839254307448,Vishwa Bakery,13.089936999999999,77.583161,Café
11,Hudi,13.022375521429,77.7054933252136,Cafe Coffee Day,13.020087755467806,77.70907135674662,Café
33,Kengeri,12.915068552548401,77.4775276168771,Cafe Coffee Day,12.915288335289905,77.48176574707031,Café
39,Rajarajeshwari Nagar,12.918757260331303,77.5221415116967,Kaapi Katte,12.916458034417012,77.52056681279288,Café
40,Rajarajeshwari Nagar,12.918757260331303,77.5221415116967,Cafe Coffee Day,12.920845861020364,77.520570258593,Café
63,Kottegepalya,12.982456456869599,77.5140904058987,Coffee Day Drive In,12.980420423569221,77.51039778399135,Café
110,Mattikere,13.032589556116399,77.5610338494586,Cafe Coffee Day,13.031717399707885,77.55940591512328,Café
124,Malleswaram,13.0140735271848,77.5616732070745,Cafe Coffee Day,13.009927892527287,77.56249642021322,Café
173,Subramanya Nagar,13.007040132284901,77.55710898561091,Berries & Barrels,13.011418632310654,77.55669800813433,Café
174,Subramanya Nagar,13.007040132284901,77.55710898561091,Cafe Coffee Day,13.011063510968768,77.55505391648342,Café
195,Ganga Nagar,13.0325549216468,77.5863604495174,Cafe Coffee Day,13.028160484683115,77.58617225724286,Café
249,Sagayarapuram,13.0055771246835,77.61686594792279,Happy Belly,13.003507027328038,77.61685871548279,Café
267,Pulikeshinagar,12.995343537892802,77.6118558337293,Cafe Coffee Day,12.995902578519381,77.61340586774355,Café
285,Banasavadi,13.0146989651032,77.6489273734027,Cafe Coffee Day,13.018155413330874,77.64732766979955,Café
300,Kacharkanahalli,13.019416784231801,77.6340107399307,Cafe Coffee Day,13.02349906225129,77.63525247573854,Café
312,Maruthi Seva Nagar,12.999921081914,77.63008061684471,Café Coffee Day,13.00004219614108,77.62798030369987,Café
320,Konena Agrahara,12.9557797461543,77.65220473340891,cafe coffee day,12.959424714856727,77.65300605699187,Café
336,C V Raman Nagar,12.9839496974537,77.6652028542387,Cafe Coffee Day,12.985948692414725,77.66879202999158,Café
349,Sarvagna Nagar,12.989170028427802,77.63103948112409,Café Coffee Day,12.985653317560189,77.62997738821826,Café
353,Hoysala Nagar,12.9784561074979,77.6387829786122,Yogisthan,12.981036630519016,77.63834821382211,Café
356,Hoysala Nagar,12.9784561074979,77.6387829786122,Terra,12.980417464598967,77.63716110610339,Café
374,Hoysala Nagar,12.9784561074979,77.6387829786122,Creme & Crust,12.974955917759535,77.64108735574453,Café
391,Hoysala Nagar,12.9784561074979,77.6387829786122,Cafe Beanstalk,12.981303965605454,77.64071418893704,Café
431,Ramaswamy Palya,13.0059760284195,77.59907663901579,Cafe Coffee Day,13.00313495592613,77.5965937716267,Café
437,Jayamahal,12.995106709721599,77.5999310114007,Cafe Coffee Day,12.995116541749383,77.60302845987117,Café
441,Halsoor,12.9797043313289,77.61982213073179,Cafe Coffee Day Ulsoor Lake,12.979497759846694,77.61815099851535,Café
475,Vasanth Nagar,12.989131112601699,77.58580469826879,Horizon Lounge @ Shangri-La,12.992234,77.588356,Café
499,Shantala Nagar,12.9698666568526,77.6064642945921,The Chocolate Room,12.971318781530645,77.60688508391937,Café
508,Shantala Nagar,12.9698666568526,77.6064642945921,Cafe Coffee Day,12.969774396555286,77.61050290333372,Café
511,Shantala Nagar,12.9698666568526,77.6064642945921,Cafe Coffee Day,12.973456453716526,77.60756549397287,Café
518,Shantala Nagar,12.9698666568526,77.6064642945921,Kalmane Koffees,12.969788703914508,77.61024147699024,Café
527,Shantala Nagar,12.9698666568526,77.6064642945921,Cafe Coffee Day,12.969701675821176,77.61009610802074,Café
528,Shantala Nagar,12.9698666568526,77.6064642945921,Cafe Coffee Day,12.971509212415176,77.60711788199694,Café
540,Shantala Nagar,12.9698666568526,77.6064642945921,Cafe Coffee Day,12.972860850126088,77.60731371246577,Café
542,Shantala Nagar,12.9698666568526,77.6064642945921,Costa Coffee,12.970201657531707,77.60964756558349,Café
556,Shantala Nagar,12.9698666568526,77.6064642945921,Barista Creme,12.970238167665991,77.60970074431806,Café
565,Domlur,12.9633614843384,77.63804041273158,Lavonne,12.963908917512304,77.63857909555006,Café
576,Domlur,12.9633614843384,77.63804041273158,Cafe 42,12.963698354237227,77.64203919544259,Café
579,Domlur,12.9633614843384,77.63804041273158,Barista,12.966273474482175,77.64143228530885,Café
584,Domlur,12.9633614843384,77.63804041273158,Raenss Cafe,12.96587686311702,77.64127674983253,Café
606,Jogupalya,12.973724534752,77.6325939694915,Chai Point,12.970279490098864,77.63217992058125,Café
628,Dattatreya Temple,12.9965554677515,77.5741380029964,Barista Creme,12.998495058066846,77.57152145437017,Café
682,Prakash Nagar,12.993094220509901,77.5582212219401,Cafe Coffee Day,12.989817640442569,77.55946397781372,Café
683,Prakash Nagar,12.993094220509901,77.5582212219401,Cafe Coffee Day,12.995894999999999,77.554804,Café
690,Rajaji Nagar,12.9945988368238,77.5501925896872,Cafe Coffee Day,12.999053508960221,77.54994885679292,Café
702,Govindaraja Nagar,12.977116412720099,77.53668247995279,cafe coffee day,12.980093609195144,77.53782296537516,Café
714,Agrahara Dasarahalli,12.9804974028429,77.5415353943762,cafe coffee day,12.980093609195144,77.53782296537516,Café
731,Mudalapalya,12.969239215188502,77.521640582415,cafe coffee day,12.969061329038635,77.52450314801445,Café
751,Attiguppe,12.9581117077057,77.52930892828059,Cafe Coffee day,12.960790047296953,77.52842255000499,Café
754,Attiguppe,12.9581117077057,77.52930892828059,Daily Bread,12.960436183980248,77.52888727014798,Café
782,Jagajivanaramnagar,12.9605447475681,77.5519414463642,Cafe Coffee Day,12.95808454092377,77.55413047750196,Café
804,Azad Nagar,12.9547171397323,77.554027303718,Cafe Coffee Day,12.95808454092377,77.55413047750196,Café
845,Vishveshwara Puram,12.9504863664593,77.5798830579196,Cafe Coffee Day,12.94781179903133,77.57980353973873,Café
851,Hombegowda Nagara,12.950595775745699,77.59487402496259,Cafe Coffee Day,12.9499432534451,77.592996055573,Café
871,Srinagar,12.9453275336224,77.5534943697637,Cafe Coffee Day,12.943156242129975,77.55242314093947,Café
897,Vidyapeeta ward,12.934200452023301,77.55947625867341,cafe coffee day,12.930137421121257,77.55976438522339,Café
917,Ganesh Mandir ward,12.924803144905601,77.5640458573888,Cafe Coffee Day,12.925870490866172,77.56414217222607,Café
927,Ganesh Mandir ward,12.924803144905601,77.5640458573888,Penthouse Cafe,12.925759,77.56084,Café
958,Banashankari Temple ward,12.9133515290769,77.5698323279022,cuppa @ dsi,12.9094,77.5679,Café
962,Kumaraswamy Layout,12.9069901964838,77.5618576805592,Cafe Coffee Day,12.908553616213238,77.56617066882794,Café
963,Kumaraswamy Layout,12.9069901964838,77.5618576805592,Njac,12.907779799559524,77.56321907043456,Café
971,Padmanabha Nagar,12.9135013256266,77.5560571929402,Hatti Kaapi,12.913780733053398,77.55547393738979,Café
978,Adugodi,12.943238883261198,77.6130791124901,CCD,12.945474482977094,77.61092252699274,Café
983,Ejipura,12.942315916976499,77.6270336149298,Chai Point,12.93873803132651,77.62593279542986,Café
997,Koramangala,12.931340405170099,77.62464944608651,Kargeens,12.935270522729704,77.62417468483564,Café
1000,Koramangala,12.931340405170099,77.62464944608651,Cafe D'hide,12.93357543894524,77.62244184849017,Café
1005,Koramangala,12.931340405170099,77.62464944608651,Om Made Cafe,12.933790479359715,77.62146627154289,Café
1015,Koramangala,12.931340405170099,77.62464944608651,Cafe 132,12.933548952528007,77.62214442481894,Café
1017,Koramangala,12.931340405170099,77.62464944608651,Mr Beans The Coffee Lounge,12.92912408703117,77.62170726370012,Café
1023,Koramangala,12.931340405170099,77.62464944608651,Java City,12.93355838341186,77.62129618411687,Café
1040,Sarakki,12.9079402946364,77.5829497522443,Hug In A Mug,12.906592450714912,77.5814611544856,Café
1070,BTM Layout,12.9118377209653,77.60934528755641,Cafe Coffee Day,12.912062368073105,77.60615551029039,Café
1095,Pattabhiram Nagar,12.924545012876802,77.58754543988991,Caffe Pascucci,12.92724075344209,77.58623727743417,Café
1103,Pattabhiram Nagar,12.924545012876802,77.58754543988991,Cafe Coffee Day Lounge,12.927606864694345,77.58652210235596,Café
1118,Pattabhiram Nagar,12.924545012876802,77.58754543988991,Cafe Coffee Day,12.926250934755545,77.58388914370578,Café
1128,Byrasandra,12.931597838075302,77.58894036974529,Rooftop Cafe,12.92900313506335,77.58601475308518,Café
1134,Byrasandra,12.931597838075302,77.58894036974529,Kalmane Koffee,12.929708702746254,77.58497446003177,Café
1150,Bellanduru,12.9228741800138,77.6802085907247,Cafe Coffee day,12.92432081309869,77.68182760760419,Café
1151,Bellanduru,12.9228741800138,77.6802085907247,Cafe Coffee Day,12.926102718690386,77.68056393561588,Café
1162,Hagadur,12.966070201875599,77.7483647412138,Cafe Coffee Day,12.963940124607525,77.7485630938307,Café
1167,Hagadur,12.966070201875599,77.7483647412138,refresh,12.965621480928588,77.74923436060023,Café
1176,HSR Layout,12.913717861836199,77.64642587500191,Pappu Chai Walla,12.913118440810521,77.64461143949056,Café
1186,HSR Layout,12.913717861836199,77.64642587500191,Tea Villa Café,12.911986,77.64754,Café
1190,HSR Layout,12.913717861836199,77.64642587500191,Gold Bean,12.91596427481259,77.6441181925889,Café
1211,Konankunte,12.885774827440901,77.5799014456152,Cafe Pascucci,12.889747412554245,77.58190602064133,Café
1233,Gurappanapalya,12.922866401542,77.6046151492465,Pinxx Cafe,12.918711045535055,77.60602682042534,Café
1234,Chikkalsandra,12.9216847932897,77.548407399626,cafe coffee day,12.924896277893632,77.54587344768795,Café
1247,J P Nagar,12.910881756962599,77.59450676549851,Cuppa,12.911194993661294,77.59892626943575,Café
1252,J P Nagar,12.910881756962599,77.59450676549851,Cuppa,12.911220461754752,77.59894865167837,Café
51,HMT Ward,13.0319047414786,77.5317054301638,Cafe Coffee Day,13.03380019886779,77.53108206734316,Coffee Shop
132,Rajamahal Guttahalli,13.001372139530199,77.5790601846204,Cafe Coffee Day,13.005180931672339,77.58090046759425,Coffee Shop
151,Kadu Malleshwar Ward,13.002385425504198,77.5684910900638,"Cafe Coffee Day, Sampige Road",13.004053,77.57110300000001,Coffee Shop
156,Kadu Malleshwar Ward,13.002385425504198,77.5684910900638,ccd malleswaram,13.00406,77.57110213149593,Coffee Shop
273,Pulikeshinagar,12.995343537892802,77.6118558337293,"Barista, Frazer Town",12.996864874695992,77.61416151043277,Coffee Shop
281,HBR Layout,13.032020123457801,77.6301273655594,Coffee Mechanics,13.031262,77.62736,Coffee Shop
283,HBR Layout,13.032020123457801,77.6301273655594,Cafe Coffee Day,13.034330382987608,77.628847632772,Coffee Shop
304,Kacharkanahalli,13.019416784231801,77.6340107399307,Cafe Coffee Day,13.02310489759356,77.63627666985283,Coffee Shop
314,Maruthi Seva Nagar,12.999921081914,77.63008061684471,Cafe Coffee Day,12.999967064138524,77.62558599315973,Coffee Shop
332,Konena Agrahara,12.9557797461543,77.65220473340891,Cafe Coffee Day,12.959231825701034,77.65474834021751,Coffee Shop
342,C V Raman Nagar,12.9839496974537,77.6652028542387,Tea O' Clock,12.980122413699588,77.66553782779752,Coffee Shop
345,New Tippasandara,12.9765036486498,77.6567910593107,Barista Lavazza,12.979603129117669,77.6579713939728,Coffee Shop
448,Halsoor,12.9797043313289,77.61982213073179,The Lobby Brew,12.975392999999999,77.620325,Coffee Shop
467,Vasanth Nagar,12.989131112601699,77.58580469826879,La Brasserie,12.990219179680775,77.58631175795395,Coffee Shop
519,Shantala Nagar,12.9698666568526,77.6064642945921,Cafe Coffee Day- The Lounge,12.971361680384836,77.60698513518601,Coffee Shop
530,Shantala Nagar,12.9698666568526,77.6064642945921,Cafe Coffee Day Crossword,12.972734750862465,77.60793685913086,Coffee Shop
569,Domlur,12.9633614843384,77.63804041273158,Starbucks,12.965648550083586,77.64171789183723,Coffee Shop
792,Chalavadipalya,12.9645793210376,77.56444822812959,Coffee Tree,12.965822895083921,77.56174320645145,Coffee Shop
824,Sunkenahalli,12.9486914803666,77.5678744056857,Cafe Coffee Day,12.950590455055346,77.56770964176006,Coffee Shop
831,Sunkenahalli,12.9486914803666,77.5678744056857,Cafe Coffee Day,12.946983044643895,77.56910355748363,Coffee Shop
852,Hombegowda Nagara,12.950595775745699,77.59487402496259,Costa Coffee,12.948889199332454,77.59759451664563,Coffee Shop
870,Srinagar,12.9453275336224,77.5534943697637,Barista,12.943336934688098,77.55250151104914,Coffee Shop
972,Padmanabha Nagar,12.9135013256266,77.5560571929402,Loki chai shop,12.916558852128867,77.55475182967763,Coffee Shop
1006,Koramangala,12.931340405170099,77.62464944608651,The Flying Squirrel - Micro Roastery & Cafe,12.933619773488491,77.62144623321609,Coffee Shop
1009,Koramangala,12.931340405170099,77.62464944608651,Cafe Coffee Day,12.93438002601041,77.62565032691056,Coffee Shop
1013,Koramangala,12.931340405170099,77.62464944608651,Cafe Coffee Day Lounge,12.93264235091151,77.62306067263394,Coffee Shop
1071,BTM Layout,12.9118377209653,77.60934528755641,Cafe Coffee Day,12.91473053631707,77.61006649307079,Coffee Shop
1081,BTM Layout,12.9118377209653,77.60934528755641,Cuppa,12.913754233474105,77.60781136005453,Coffee Shop
1082,BTM Layout,12.9118377209653,77.60934528755641,Lassi Shop,12.913702,77.60709,Coffee Shop
1098,Pattabhiram Nagar,12.924545012876802,77.58754543988991,Starbucks,12.924623871845903,77.58380513737441,Coffee Shop
1147,Bellanduru,12.9228741800138,77.6802085907247,Starbucks,12.922508,77.68096,Coffee Shop
1171,Dodda Nekkundi,12.968182847121902,77.707823685904,Cafe Coffee day,12.966507,77.709676,Coffee Shop
1271,Marathahalli,12.9507430630886,77.6914952440871,Hatti Kaapi,12.94815,77.68979,Coffee Shop
